"ID","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","square_feet","security_deposit","cleaning_fee","minimum_nights","calendar_updated","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","reviews_per_month"
30011,"2012-04-10","within a few hours","100%","100%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","Willoughby St, Brooklyn, NY 11201, United States","Fort Greene","Brooklyn","Brooklyn","NY",11201,"New York","Brooklyn, NY",40.6926567163,-73.9821829221,"t","Apartment","Private room",4,1,1,1,"Real Bed","{""Wireless Internet"",""Air Conditioning"",Doorman,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",300,,"$59.00",3,"yesterday",8,26,56,133,35,94,9,10,10,10,9,9,"f","strict","f","f",0.73
30012,"2013-11-02","within a day","80%","40%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","West 83rd Street, New York, NY 10024, United States","Upper West Side","Manhattan","New York","NY",10024,"New York","New York, NY",40.783871358,-73.9731823168,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$400.00","$25.00",3,"6 days ago",6,6,23,132,3,100,10,10,10,10,10,10,"f","strict","f","f",1.08
30013,"2014-01-26","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Hart St, Brooklyn , NY 11221, United States","Bushwick","Brooklyn","Brooklyn ","NY",11221,"New York","Brooklyn , NY",40.6998215601,-73.9248959308,"f","Apartment","Private room",2,,1,,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen}",,,,4,"5 months ago",0,0,0,0,2,60,8,4,8,9,9,7,"t","moderate","f","f",0.26
30014,"2013-08-26","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews']","t","f","East 25th Street, New York, NY 10010, United States","Kips Bay","Manhattan","New York","NY",10010,"New York","New York, NY",40.7399016265,-73.9817853533,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Essentials,""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}",,,"$50.00",10,"4 months ago",0,0,0,0,2,60,6,6,9,6,9,7,"f","strict","f","f",0.4
30015,"2013-09-10","within a few hours","100%","83%","f",1,"['email', 'phone', 'reviews']","t","f","Commerce Street, New York, NY 10014, United States","West Village","Manhattan","New York","NY",10014,"New York","New York, NY",40.7318770112,-74.005134739,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$100.00","$35.00",3,"7 weeks ago",4,7,37,294,41,89,9,8,9,9,10,9,"f","strict","f","f",1.24
30016,"2012-12-25","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews']","t","f","East 7th Street, Brooklyn, NY 11230, United States","Midwood","Brooklyn","Brooklyn","NY",11230,"New York","Brooklyn, NY",40.627839804,-73.9704008397,"t","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Elevator in Building"",""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",,,,2,"3 days ago",0,0,0,0,7,89,9,9,10,10,9,9,"t","moderate","f","f",0.2
30017,"2015-04-01","within a day","83%","75%","f",1,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']","t","t","Milton Street, Brooklyn, NY 11222, United States","Greenpoint","Brooklyn","Brooklyn","NY",11222,"New York","Brooklyn, NY",40.7292664441,-73.9570728004,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$100.00","$60.00",4,"4 days ago",4,4,9,22,0,,,,,,,,"f","strict","f","f",
30018,"2014-06-29","within a few hours","90%","59%","f",8,"['email', 'phone', 'reviews']","t","f","2nd Avenue, New York, NY 10003, United States","East Village","Manhattan","New York","NY",10003,"New York","New York, NY",40.7257601647,-73.990593282,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,"$200.00",,1,"a week ago",30,60,90,365,1,100,8,10,10,8,8,10,"f","strict","f","f",0.15
30019,"2014-08-05","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","f","t","Greene Avenue, Brooklyn, NY 11216, United States","Bedford-Stuyvesant","Brooklyn","Brooklyn","NY",11216,"New York","Brooklyn, NY",40.6887313536,-73.9572860889,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",,,,7,"10 months ago",0,0,0,0,1,100,10,8,10,10,10,,"f","strict","f","f",0.1
30020,"2013-02-25","within a few hours","82%","71%","f",1,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Exchange Pl, New York, NY 10005, United States","Financial District","Manhattan","New York","NY",10005,"New York","New York, NY",40.7048681528,-74.0107457944,"f","Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Smoke Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,,2,"2 weeks ago",0,0,20,20,2,100,10,9,10,10,10,10,"f","strict","f","f",0.17
30021,"2012-06-19","within an hour","100%","98%","f",3,"['email', 'phone', 'facebook', 'reviews']","t","f","Bowne Street, Flushing, NY 11355, United States","Flushing","Queens","Flushing","NY",11355,"New York","Flushing, NY",40.7533358249,-73.8169900829,"t","House","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,,,1,"today",19,48,67,325,146,93,9,9,10,10,9,9,"f","flexible","f","f",3.82
30022,"2016-03-13","within a few hours","100%","0%","f",1,"['email', 'phone']","t","f","Prospect Place, Brooklyn, NY 11216, United States","Crown Heights","Brooklyn","Brooklyn","NY",11216,"New York","Brooklyn, NY",40.6738607895,-73.9527093685,"t","Townhouse","Entire home/apt",4,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$200.00","$100.00",3,"2 days ago",26,52,82,347,0,,,,,,,,"f","strict","f","f",
30023,"2012-07-19","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook']","t","f","Suydam Street, Brooklyn, NY 11237, United States","Bushwick","Brooklyn","Brooklyn","NY",11237,,"Brooklyn, NY",40.7007438392,-73.9249239708,"t","Apartment","Private room",1,1,1,1,"Real Bed","{Kitchen,Essentials,Shampoo,Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$95.00","$25.00",3,"today",28,58,88,89,0,,,,,,,,"f","flexible","f","f",
30024,"2010-10-31","within a day","50%","75%","f",3,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Banker Street, Brooklyn, NY 11222, United States","Greenpoint","Brooklyn","Brooklyn","NY",11222,"New York","Brooklyn, NY",40.7266730288,-73.9570641251,"t","Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials}",,"$300.00","$70.00",3,"3 months ago",30,60,90,90,3,90,8,9,10,9,8,8,"f","moderate","f","f",0.33
30025,"2010-12-12","within a day","71%","75%","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Thompson Street, New York, NY 10012, United States","Greenwich Village","Manhattan","New York","NY",10012,"New York","New York, NY",40.7285793157,-74.0003790864,"f","Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,Heating,Essentials,Shampoo,""Hair Dryer""}",,,,3,"never",30,60,90,90,0,,,,,,,,"f","flexible","f","f",
30026,"2015-09-24","within a few hours","98%","93%","f",3,"['email', 'phone', 'google', 'reviews']","t","f","West 14th Street, New York, NY 10011, United States","Chelsea","Manhattan","New York","NY",10011,"New York","New York, NY",40.7397402514,-74.0008793546,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",Essentials,Shampoo}",,"$800.00","$75.00",2,"2 weeks ago",6,8,34,215,7,91,9,9,9,9,9,9,"f","strict","f","f",0.9
30027,"2013-03-20","within a day","100%","100%","f",2,"['email', 'phone', 'reviews', 'jumio']","t","t","Kent Ave, New York City, NY 11249, United States","Bedford-Stuyvesant","Brooklyn","New York City","NY",11249,"New York","New York City, NY",40.6947497574,-73.9585857897,"f","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",,,"$15.00",3,"a week ago",9,24,29,232,7,97,10,10,9,9,9,9,"f","strict","f","f",0.4
30028,"2011-11-03","within a few hours","96%","97%","f",3,"['email', 'phone', 'reviews']","t","f","Sterling St, Brooklyn, NY 11225, United States","Prospect-Lefferts Gardens","Brooklyn","Brooklyn","NY",11225,"New York","Brooklyn, NY",40.6628834718,-73.956662321,"t","House","Entire home/apt",8,1,1,4,"Real Bed","{TV,""Cable TV"",""Wireless Internet"",Kitchen,Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$100.00","$75.00",1,"yesterday",5,27,57,332,28,93,9,9,9,10,9,9,"f","strict","t","t",0.52
30029,"2013-10-01","within an hour","100%","100%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","East 53rd Street, New York, NY 10022, United States","Midtown","Manhattan","New York","NY",10022,"New York","New York, NY",40.7571029746,-73.9675916907,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Laptop Friendly Workspace""}",,,"$50.00",3,"yesterday",5,9,24,247,14,91,9,9,10,10,10,10,"t","moderate","f","f",2.71
30030,"2015-09-01","within an hour","100%","65%","f",5,"['phone', 'reviews']","t","f","Bedford Ave, Brooklyn, NY 11216, United States","Bedford-Stuyvesant","Brooklyn","Brooklyn","NY",11216,"New York","Brooklyn, NY",40.6814694924,-73.9531966943,"f","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",,,"$20.00",1,"8 months ago",9,22,52,327,5,80,8,8,9,10,8,8,"f","flexible","f","f",0.56
30031,"2016-03-30","within a few hours","100%","100%","f",1,"['email', 'phone', 'facebook']","t","f","Astoria Boulevard, Queens, NY 11102, United States","Astoria","Queens","Queens","NY",11102,"New York","Queens, NY",40.7726750308,-73.9255613121,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""First Aid Kit"",Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,,,4,"a week ago",16,46,76,351,0,,,,,,,,"t","flexible","f","f",
30032,"2013-03-03","within an hour","100%","100%","f",1,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']","t","t","East 24th Street, New York, NY 10010, United States","Kips Bay","Manhattan","New York","NY",10010,"New York","New York, NY",40.7386676646,-73.9812487108,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,,"$40.00",1,"today",21,49,61,66,0,,,,,,,,"f","strict","f","f",
30033,"2016-04-24","within a few hours","100%","N/A","f",1,"['email', 'phone']","t","f","Franklin Avenue, Brooklyn, NY 11238, United States","Bedford-Stuyvesant","Brooklyn","Brooklyn","NY",11238,"New York","Brooklyn, NY",40.6872045815,-73.9577250594,"t","Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,"$25.00",3,"6 weeks ago",3,3,3,3,0,,,,,,,,"f","flexible","f","f",
30034,"2014-09-18","within a day","100%","100%","f",1,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","t","t","West 105th Street, New York, NY 10025, United States","Upper West Side","Manhattan","New York","NY",10025,"New York","New York, NY",40.7999731949,-73.9652930572,"t","House","Shared room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Elevator in Building"",""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,,5,"5 weeks ago",2,27,27,27,0,,,,,,,,"f","moderate","f","f",
30035,"2015-05-16","within an hour","100%","100%","f",1,"['email', 'phone', 'reviews', 'jumio']","t","t","West 47th Street, New York, NY 10036, United States","Hell's Kitchen","Manhattan","New York","NY",10036,"New York","New York, NY",40.7608427399,-73.9901735905,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",Essentials}",,"$200.00",,2,"5 days ago",7,22,22,22,10,100,10,10,10,10,10,10,"f","strict","f","f",1.68
30036,"2010-11-22","N/A","N/A","N/A","f",2,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Putnam Avenue, Brooklyn, NY 11216, United States","Bedford-Stuyvesant","Brooklyn","Brooklyn","NY",11216,"New York","Brooklyn, NY",40.6843919387,-73.9521430882,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""First Aid Kit"",Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",,,,5,"4 months ago",0,0,29,304,3,100,10,10,9,9,9,9,"f","strict","f","f",0.24
30037,"2015-01-20","within a few hours","86%","27%","t",2,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']","t","t","Harman Street, Brooklyn, NY 11237, United States","Bushwick","Brooklyn","Brooklyn","NY",11237,"New York","Brooklyn, NY",40.700883544,-73.9183069612,"t","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer""}",,"$95.00","$20.00",1,"2 weeks ago",30,60,66,66,10,92,9,9,9,10,8,9,"f","strict","f","f",0.96
30038,"2011-10-20","N/A","N/A","N/A","f",2,"['email', 'phone', 'linkedin', 'reviews', 'kba']","t","t","Sullivan Street, New York, NY 10012, United States","SoHo","Manhattan","New York","NY",10012,"New York","New York, NY",40.7255529267,-74.003079342,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$200.00","$35.00",1,"4 months ago",0,0,0,0,0,,,,,,,,"f","flexible","f","f",
30039,"2011-06-13","within an hour","100%","70%","f",1,"['email', 'phone', 'reviews']","t","f","54th Street, Queens, NY 11377, United States","Woodside","Queens","Queens","NY",11377,"New York","Queens, NY",40.7542670455,-73.9064559393,"t","House","Private room",2,2,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",,,"$10.00",1,"never",0,0,0,243,9,98,10,10,10,10,10,10,"f","strict","f","f",2.01
30040,"2015-09-09","a few days or more","42%","78%","f",2,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","30th Avenue, Astoria, NY 11102, United States","Astoria","Queens","Astoria","NY",11102,"New York","Astoria, NY",40.7681790411,-73.9237042684,"f","Apartment","Entire home/apt",3,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,Shampoo}",,,"$49.00",1,"3 weeks ago",1,31,61,336,2,100,10,9,10,9,10,10,"f","strict","f","f",0.55
30041,"2012-10-24","within a day","88%","100%","f",1,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio']","t","t","Thompson Street, New York, NY 10012, United States","SoHo","Manhattan","New York","NY",10012,"New York","New York, NY",40.7232054445,-74.004037562,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$100.00","$50.00",1,"3 weeks ago",4,11,20,26,1,100,10,10,10,10,10,10,"f","flexible","f","f",1
